Ozone,Temperature,Flowrate,TimeStamp
0.029343,+31.039,4.4806,30/07/2020 12:00:00.098
0.028753,+31.039,4.4806,30/07/2020 12:00:00.194
0.026798,+31.039,4.4763,30/07/2020 12:00:00.290
0.028560,+31.039,4.4763,30/07/2020 12:00:00.402
0.027377,+31.039,4.4763,30/07/2020 12:00:00.498
0.026046,+31.039,4.4679,30/07/2020 12:00:00.594
0.029638,+31.038,4.4679,30/07/2020 12:00:00.691
0.027355,+31.038,4.4679,30/07/2020 12:00:00.802
0.028375,+31.038,4.4656,30/07/2020 12:00:00.898
0.026060,+31.039,4.4656,30/07/2020 12:00:00.994
0.029960,+31.039,4.4656,30/07/2020 12:00:01.090
0.026790,+31.039,4.4700,30/07/2020 12:00:01.202
0.029173,+31.038,4.4700,30/07/2020 12:00:01.298
0.025261,+31.038,4.4700,30/07/2020 12:00:01.394
0.024965,+31.038,4.4788,30/07/2020 12:00:01.490
0.026485,+31.038,4.4788,30/07/2020 12:00:01.602
0.029222,+31.038,4.4788,30/07/2020 12:00:01.697
0.028179,+31.038,4.4766,30/07/2020 12:00:01.793
0.027387,+31.038,4.4766,30/07/2020 12:00:01.890
0.026481,+31.038,4.4766,30/07/2020 12:00:02.001
0.025705,+31.038,4.4815,30/07/2020 12:00:02.098
0.027244,+31.039,4.4815,30/07/2020 12:00:02.194
0.026298,+31.039,4.4815,30/07/2020 12:00:02.290
0.028087,+31.039,4.4762,30/07/2020 12:00:02.402
0.026992,+31.039,4.4762,30/07/2020 12:00:02.498
0.024642,+31.039,4.4762,30/07/2020 12:00:02.594
0.027392,+31.039,4.4691,30/07/2020 12:00:02.690
0.027402,+31.038,4.4691,30/07/2020 12:00:02.802
0.027159,+31.038,4.4691,30/07/2020 12:00:02.897
0.026697,+31.038,4.4654,30/07/2020 12:00:02.994
0.028368,+31.038,4.4654,30/07/2020 12:00:03.090
0.027007,+31.038,4.4654,30/07/2020 12:00:03.202
0.027562,+31.038,4.4785,30/07/2020 12:00:03.298
0.028216,+31.039,4.4785,30/07/2020 12:00:03.393
0.026450,+31.039,4.4785,30/07/2020 12:00:03.490
0.026104,+31.039,4.4796,30/07/2020 12:00:03.602
0.025883,+31.039,4.4796,30/07/2020 12:00:03.698
0.031577,+31.039,4.4796,30/07/2020 12:00:03.794
0.028705,+31.039,4.4749,30/07/2020 12:00:03.890
0.029853,+31.039,4.4749,30/07/2020 12:00:04.001
0.025913,+31.039,4.4749,30/07/2020 12:00:04.098
0.028677,+31.039,4.4706,30/07/2020 12:00:04.194
0.030381,+31.039,4.4706,30/07/2020 12:00:04.290
0.029719,+31.039,4.4706,30/07/2020 12:00:04.401
0.028257,+31.039,4.4731,30/07/2020 12:00:04.497
0.026384,+31.040,4.4731,30/07/2020 12:00:04.593
0.029232,+31.040,4.4731,30/07/2020 12:00:04.705
0.030924,+31.040,4.4689,30/07/2020 12:00:04.801
0.026119,+31.039,4.4689,30/07/2020 12:00:04.897
0.028501,+31.039,4.4689,30/07/2020 12:00:04.993
0.025890,+31.039,4.4758,30/07/2020 12:00:05.090
0.028397,+31.040,4.4758,30/07/2020 12:00:05.201
0.025642,+31.040,4.4758,30/07/2020 12:00:05.297
0.027545,+31.040,4.4746,30/07/2020 12:00:05.394
0.024658,+31.040,4.4746,30/07/2020 12:00:05.489
0.026661,+31.040,4.4746,30/07/2020 12:00:05.601
0.024635,+31.040,4.4787,30/07/2020 12:00:05.697
0.029383,+31.040,4.4787,30/07/2020 12:00:05.794
0.024544,+31.040,4.4787,30/07/2020 12:00:05.905
0.026837,+31.040,4.4774,30/07/2020 12:00:06.001
0.029789,+31.039,4.4774,30/07/2020 12:00:06.097
0.025684,+31.039,4.4774,30/07/2020 12:00:06.194
0.025941,+31.039,4.4705,30/07/2020 12:00:06.289
0.027250,+31.040,4.4705,30/07/2020 12:00:06.401
0.027685,+31.040,4.4705,30/07/2020 12:00:06.497
0.024728,+31.040,4.4719,30/07/2020 12:00:06.593
0.028793,+31.040,4.4719,30/07/2020 12:00:06.705
0.026086,+31.040,4.4719,30/07/2020 12:00:06.802
0.027082,+31.040,4.4685,30/07/2020 12:00:06.897
0.027015,+31.040,4.4685,30/07/2020 12:00:06.994
0.027783,+31.040,4.4685,30/07/2020 12:00:07.105
0.027098,+31.040,4.4713,30/07/2020 12:00:07.201
0.026066,+31.039,4.4713,30/07/2020 12:00:07.297
0.027581,+31.039,4.4713,30/07/2020 12:00:07.393
0.026556,+31.039,4.4773,30/07/2020 12:00:07.505
0.027767,+31.039,4.4773,30/07/2020 12:00:07.601
0.028163,+31.039,4.4773,30/07/2020 12:00:07.697
0.028691,+31.039,4.4783,30/07/2020 12:00:07.793
0.025204,+31.039,4.4783,30/07/2020 12:00:07.905
0.029153,+31.039,4.4783,30/07/2020 12:00:08.000
0.026755,+31.039,4.4783,30/07/2020 12:00:08.097
0.026402,+31.040,4.4783,30/07/2020 12:00:08.194
0.026492,+31.040,4.4783,30/07/2020 12:00:08.305
0.028007,+31.040,4.4761,30/07/2020 12:00:08.401
0.029698,+31.040,4.4761,30/07/2020 12:00:08.497
0.027326,+31.040,4.4761,30/07/2020 12:00:08.593
0.026750,+31.040,4.4694,30/07/2020 12:00:08.705
0.028706,+31.041,4.4694,30/07/2020 12:00:08.800
0.028265,+31.041,4.4694,30/07/2020 12:00:08.897
0.028339,+31.041,4.4643,30/07/2020 12:00:08.993
0.026307,+31.040,4.4643,30/07/2020 12:00:09.105
0.029363,+31.040,4.4643,30/07/2020 12:00:09.201
